Year,Qtr,Area Type,St Name,Area,Ownership,Industry,Status Code,Establishment Count,April Employment,May Employment,June Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2023,2,County,Illinois,"Boone County, Illinois",Total Covered,"10 Total, all industries",,895,"12,515","12,641","13,155","196,488,038","1,184",1.00,1.00
2023,2,County,Illinois,"Boone County, Illinois",Federal Government,"10 Total, all industries",,6,66,66,64,"875,203","1,030",0.26,0.17
2023,2,County,Illinois,"Boone County, Illinois",Local Government,"10 Total, all industries",,28,"2,008","2,016","1,951","26,734,644","1,033",1.60,1.56
2023,2,County,Illinois,"Boone County, Illinois",Private,"10 Total, all industries",,861,"10,441","10,559","11,140","168,878,191","1,213",0.99,1.01
2023,2,County,Illinois,"Boone County, Illinois",Private,101 Goods-producing,,223,"4,603","4,610","5,304","112,480,402","1,788",2.70,3.51
2023,2,County,Illinois,"Boone County, Illinois",Private,1011 Natural resources and mining,,22,178,187,202,"3,148,176","1,281",1.21,1.40
2023,2,County,Illinois,"Boone County, Illinois",Private,1012 Construction,,133,"1,311","1,344","1,466","25,391,201","1,422",2.12,2.32
2023,2,County,Illinois,"Boone County, Illinois",Private,1013 Manufacturing,,68,"3,114","3,079","3,636","83,941,025","1,971",3.29,4.45
2023,2,County,Illinois,"Boone County, Illinois",Private,102 Service-providing,,638,"5,838","5,949","5,836","56,397,789",739,0.63,0.42
2023,2,County,Illinois,"Boone County, Illinois",Private,"1021 Trade, transportation, and utilities",,208,"2,014","2,029","2,085","22,182,526",835,0.86,0.73
2023,2,County,Illinois,"Boone County, Illinois",Private,1022 Information,,16,83,80,81,"1,328,437","1,256",0.32,0.16
2023,2,County,Illinois,"Boone County, Illinois",Private,1023 Financial activities,,73,253,250,254,"3,614,744","1,102",0.34,0.22
2023,2,County,Illinois,"Boone County, Illinois",Private,1024 Professional and business services,,130,"1,571","1,600","1,385","14,660,612",743,0.72,0.38
2023,2,County,Illinois,"Boone County, Illinois",Private,1025 Education and health services,,54,600,606,624,"6,547,808",826,0.30,0.24
2023,2,County,Illinois,"Boone County, Illinois",Private,1026 Leisure and hospitality,,84,899,952,958,"4,553,792",374,0.66,0.48
2023,2,County,Illinois,"Boone County, Illinois",Private,1027 Other services,,70,416,430,446,"3,491,070",624,1.13,0.83
2023,2,County,Illinois,"Boone County, Illinois",Private,1029 Unclassified,,3,2,2,3,"18,800",620,0.09,0.04
2023,2,County,Illinois,"Brown County, Illinois",Total Covered,"10 Total, all industries",,132,"4,650","4,618","4,679","74,467,197","1,232",1.00,1.00
2023,2,County,Illinois,"Brown County, Illinois",Federal Government,"10 Total, all industries",,7,41,44,41,"659,782","1,208",0.46,0.34
2023,2,County,Illinois,"Brown County, Illinois",State Government,"10 Total, all industries",N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Brown County, Illinois",Local Government,"10 Total, all industries",N,13,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Brown County, Illinois",Private,"10 Total, all industries",,111,"4,030","3,997","4,070","65,217,076","1,244",1.01,1.03
2023,2,County,Illinois,"Brown County, Illinois",Private,101 Goods-producing,,27,257,252,235,"3,620,731","1,123",0.34,0.30
2023,2,County,Illinois,"Brown County, Illinois",Private,1011 Natural resources and mining,N,9,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Brown County, Illinois",Private,1012 Construction,,15,60,56,55,"618,719",835,0.22,0.15
2023,2,County,Illinois,"Brown County, Illinois",Private,1013 Manufacturing,N,3,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Brown County, Illinois",Private,102 Service-providing,,84,"3,773","3,745","3,835","61,596,345","1,252",1.16,1.20
2023,2,County,Illinois,"Brown County, Illinois",Private,"1021 Trade, transportation, and utilities",,24,"3,324","3,312","3,392","56,359,097","1,297",3.91,4.86
2023,2,County,Illinois,"Brown County, Illinois",Private,1022 Information,N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Brown County, Illinois",Private,1023 Financial activities,,10,50,49,49,"596,155",930,0.18,0.10
2023,2,County,Illinois,"Brown County, Illinois",Private,1024 Professional and business services,,13,53,46,47,"420,584",665,0.07,0.03
2023,2,County,Illinois,"Brown County, Illinois",Private,1025 Education and health services,,8,214,213,217,"3,518,308","1,261",0.29,0.34
2023,2,County,Illinois,"Brown County, Illinois",Private,1026 Leisure and hospitality,,12,103,98,101,"498,875",381,0.19,0.14
2023,2,County,Illinois,"Brown County, Illinois",Private,1027 Other services,N,16,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Bureau County, Illinois",Total Covered,"10 Total, all industries",,792,"10,813","10,911","10,955","134,348,925",949,1.00,1.00
2023,2,County,Illinois,"Bureau County, Illinois",Federal Government,"10 Total, all industries",,29,104,103,103,"1,957,960","1,458",0.50,0.56
2023,2,County,Illinois,"Bureau County, Illinois",Local Government,"10 Total, all industries",,77,"1,557","1,581","1,511","14,936,791",741,1.49,1.27
2023,2,County,Illinois,"Bureau County, Illinois",Private,"10 Total, all industries",,686,"9,152","9,227","9,341","117,454,174",978,0.99,1.02
2023,2,County,Illinois,"Bureau County, Illinois",Private,101 Goods-producing,,162,"2,245","2,311","2,382","38,775,204","1,290",1.46,1.77
2023,2,County,Illinois,"Bureau County, Illinois",Private,1011 Natural resources and mining,,39,401,403,426,"5,568,822","1,045",3.07,3.61
2023,2,County,Illinois,"Bureau County, Illinois",Private,1012 Construction,,87,434,506,537,"7,950,424","1,242",0.93,1.06
2023,2,County,Illinois,"Bureau County, Illinois",Private,1013 Manufacturing,,36,"1,410","1,402","1,419","25,255,958","1,378",1.54,1.96
2023,2,County,Illinois,"Bureau County, Illinois",Private,102 Service-providing,,524,"6,907","6,916","6,959","78,678,970",874,0.90,0.85
2023,2,County,Illinois,"Bureau County, Illinois",Private,"1021 Trade, transportation, and utilities",,185,"3,642","3,685","3,706","42,111,639",881,1.83,2.01
2023,2,County,Illinois,"Bureau County, Illinois",Private,1022 Information,,8,29,28,29,"298,521",801,0.14,0.05
2023,2,County,Illinois,"Bureau County, Illinois",Private,1023 Financial activities,,45,253,252,253,"3,268,241",995,0.41,0.29
2023,2,County,Illinois,"Bureau County, Illinois",Private,1024 Professional and business services,,73,459,403,410,"4,972,519",902,0.25,0.19
2023,2,County,Illinois,"Bureau County, Illinois",Private,1025 Education and health services,,64,"1,458","1,464","1,456","20,503,073","1,081",0.84,1.09
2023,2,County,Illinois,"Bureau County, Illinois",Private,1026 Leisure and hospitality,,86,751,776,791,"3,220,114",321,0.65,0.49
2023,2,County,Illinois,"Bureau County, Illinois",Private,1027 Other services,,62,314,307,313,"4,302,103","1,063",0.95,1.50
2023,2,County,Illinois,"Bureau County, Illinois",Private,1029 Unclassified,,1,1,1,1,"2,760",212,0.03,0.01
2023,2,County,Illinois,"Calhoun County, Illinois",Total Covered,"10 Total, all industries",,94,767,765,787,"6,364,381",633,1.00,1.00
2023,2,County,Illinois,"Calhoun County, Illinois",Federal Government,"10 Total, all industries",,8,17,17,17,"279,604","1,265",1.14,1.67
2023,2,County,Illinois,"Calhoun County, Illinois",Local Government,"10 Total, all industries",,11,234,231,232,"1,916,204",634,3.18,3.45
2023,2,County,Illinois,"Calhoun County, Illinois",Private,"10 Total, all industries",,75,516,517,538,"4,168,573",612,0.80,0.77
2023,2,County,Illinois,"Calhoun County, Illinois",Private,101 Goods-producing,,20,60,64,70,"783,909",932,0.60,0.76
2023,2,County,Illinois,"Calhoun County, Illinois",Private,1011 Natural resources and mining,,6,21,21,29,"189,474",616,2.91,2.59
2023,2,County,Illinois,"Calhoun County, Illinois",Private,1012 Construction,N,12,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Calhoun County, Illinois",Private,1013 Manufacturing,N,2,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Calhoun County, Illinois",Private,102 Service-providing,,55,456,453,468,"3,384,664",567,0.84,0.77
2023,2,County,Illinois,"Calhoun County, Illinois",Private,"1021 Trade, transportation, and utilities",,19,126,124,130,"1,081,982",657,0.89,1.09
2023,2,County,Illinois,"Calhoun County, Illinois",Private,1022 Information,N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Calhoun County, Illinois",Private,1023 Financial activities,,5,65,67,67,"583,470",677,1.50,1.10
2023,2,County,Illinois,"Calhoun County, Illinois",Private,1024 Professional and business services,,5,19,22,29,"163,741",540,0.25,0.13
2023,2,County,Illinois,"Calhoun County, Illinois",Private,1025 Education and health services,,4,116,114,105,"1,013,838",698,0.85,1.14
2023,2,County,Illinois,"Calhoun County, Illinois",Private,1026 Leisure and hospitality,,15,120,116,126,"418,797",267,1.45,1.36
2023,2,County,Illinois,"Calhoun County, Illinois",Private,1027 Other services,N,6,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Carroll County, Illinois",Total Covered,"10 Total, all industries",,414,"3,983","4,102","4,189","46,905,632",882,1.00,1.00
2023,2,County,Illinois,"Carroll County, Illinois",Federal Government,"10 Total, all industries",,15,519,515,506,"12,832,124","1,923",6.36,10.43
2023,2,County,Illinois,"Carroll County, Illinois",Local Government,"10 Total, all industries",,38,663,665,640,"4,716,565",553,1.65,1.15
2023,2,County,Illinois,"Carroll County, Illinois",Private,"10 Total, all industries",,361,"2,801","2,922","3,043","29,356,943",773,0.85,0.73
2023,2,County,Illinois,"Carroll County, Illinois",Private,101 Goods-producing,,92,852,851,874,"11,825,313","1,059",1.40,1.55
2023,2,County,Illinois,"Carroll County, Illinois",Private,1011 Natural resources and mining,,17,59,61,63,"676,808",853,1.19,1.26
2023,2,County,Illinois,"Carroll County, Illinois",Private,1012 Construction,,52,170,175,187,"2,231,504",968,0.85,0.86
2023,2,County,Illinois,"Carroll County, Illinois",Private,1013 Manufacturing,,23,623,615,624,"8,917,001","1,105",1.77,1.98
2023,2,County,Illinois,"Carroll County, Illinois",Private,102 Service-providing,,269,"1,949","2,071","2,169","17,531,630",654,0.73,0.54
2023,2,County,Illinois,"Carroll County, Illinois",Private,"1021 Trade, transportation, and utilities",,94,736,739,767,"7,138,009",735,0.99,0.98
2023,2,County,Illinois,"Carroll County, Illinois",Private,1022 Information,,4,17,17,17,"106,134",480,0.21,0.05
2023,2,County,Illinois,"Carroll County, Illinois",Private,1023 Financial activities,,35,200,200,205,"2,585,654",986,0.86,0.66
2023,2,County,Illinois,"Carroll County, Illinois",Private,1024 Professional and business services,,32,146,154,152,"1,610,253",822,0.25,0.17
2023,2,County,Illinois,"Carroll County, Illinois",Private,1025 Education and health services,,22,342,349,354,"2,928,113",647,0.54,0.45
2023,2,County,Illinois,"Carroll County, Illinois",Private,1026 Leisure and hospitality,,42,324,396,449,"1,592,087",314,0.97,0.70
2023,2,County,Illinois,"Carroll County, Illinois",Private,1027 Other services,,39,182,214,223,"1,549,988",578,1.77,1.54
2023,2,County,Illinois,"Carroll County, Illinois",Private,1029 Unclassified,,1,2,2,2,"21,392",823,0.18,0.18
2023,2,County,Illinois,"Cass County, Illinois",Total Covered,"10 Total, all industries",,271,"5,431","5,448","5,455","63,393,788",896,1.00,1.00
2023,2,County,Illinois,"Cass County, Illinois",Federal Government,"10 Total, all industries",,9,51,51,50,"833,684","1,266",0.48,0.50
2023,2,County,Illinois,"Cass County, Illinois",Local Government,"10 Total, all industries",,25,796,796,845,"7,524,378",713,1.67,1.36
2023,2,County,Illinois,"Cass County, Illinois",Private,"10 Total, all industries",,237,"4,584","4,601","4,560","55,035,726",924,0.97,1.02
2023,2,County,Illinois,"Cass County, Illinois",Private,101 Goods-producing,,55,"2,082","2,086","2,037","28,416,777","1,057",2.50,2.75
2023,2,County,Illinois,"Cass County, Illinois",Private,1011 Natural resources and mining,N,15,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Cass County, Illinois",Private,1012 Construction,,29,143,153,158,"1,985,244","1,009",0.55,0.56
2023,2,County,Illinois,"Cass County, Illinois",Private,1013 Manufacturing,N,11,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Cass County, Illinois",Private,102 Service-providing,,182,"2,502","2,515","2,523","26,618,949",815,0.65,0.61
2023,2,County,Illinois,"Cass County, Illinois",Private,"1021 Trade, transportation, and utilities",,72,"1,226","1,236","1,251","13,869,126",862,1.24,1.41
2023,2,County,Illinois,"Cass County, Illinois",Private,1022 Information,N,3,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Cass County, Illinois",Private,1023 Financial activities,,20,230,227,236,"2,650,572",883,0.76,0.50
2023,2,County,Illinois,"Cass County, Illinois",Private,1024 Professional and business services,,17,373,370,376,"4,686,653",967,0.47,0.37
2023,2,County,Illinois,"Cass County, Illinois",Private,1025 Education and health services,,17,316,316,306,"2,662,157",655,0.36,0.30
2023,2,County,Illinois,"Cass County, Illinois",Private,1026 Leisure and hospitality,,29,154,160,150,"665,299",331,0.25,0.22
2023,2,County,Illinois,"Cass County, Illinois",Private,1027 Other services,,23,97,97,97,"727,448",577,0.59,0.54
2023,2,County,Illinois,"Cass County, Illinois",Private,1029 Unclassified,N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Champaign County, Illinois",Total Covered,"10 Total, all industries",,"4,235","96,114","96,438","96,967","1,399,187,528","1,115",1.00,1.00
2023,2,County,Illinois,"Champaign County, Illinois",Federal Government,"10 Total, all industries",,44,"1,268","1,273","1,281","25,729,929","1,554",0.70,0.70
2023,2,County,Illinois,"Champaign County, Illinois",State Government,"10 Total, all industries",N,2,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Champaign County, Illinois",Local Government,"10 Total, all industries",N,124,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Champaign County, Illinois",Private,"10 Total, all industries",,"4,065","69,760","69,763","70,396","949,908,890","1,044",0.85,0.80
2023,2,County,Illinois,"Champaign County, Illinois",Private,101 Goods-producing,,579,"10,958","11,018","11,387","175,145,218","1,211",0.79,0.77
2023,2,County,Illinois,"Champaign County, Illinois",Private,1011 Natural resources and mining,,59,306,311,321,"5,144,891","1,266",0.26,0.32
2023,2,County,Illinois,"Champaign County, Illinois",Private,1012 Construction,,362,"3,706","3,846","4,166","70,127,261","1,381",0.82,0.90
2023,2,County,Illinois,"Champaign County, Illinois",Private,1013 Manufacturing,,158,"6,946","6,861","6,900","99,873,066","1,113",0.85,0.74
2023,2,County,Illinois,"Champaign County, Illinois",Private,102 Service-providing,,"3,486","58,802","58,745","59,009","774,763,672","1,013",0.86,0.80
2023,2,County,Illinois,"Champaign County, Illinois",Private,"1021 Trade, transportation, and utilities",,804,"14,017","14,004","14,074","156,581,829",858,0.78,0.72
2023,2,County,Illinois,"Champaign County, Illinois",Private,1022 Information,,91,"1,967","2,054","1,916","36,505,291","1,419",1.02,0.63
2023,2,County,Illinois,"Champaign County, Illinois",Private,1023 Financial activities,,442,"3,928","3,927","3,961","66,508,330","1,299",0.72,0.57
2023,2,County,Illinois,"Champaign County, Illinois",Private,1024 Professional and business services,,672,"7,338","7,285","7,297","108,684,485","1,144",0.51,0.39
2023,2,County,Illinois,"Champaign County, Illinois",Private,1025 Education and health services,,472,"18,185","17,984","19,029","319,270,880","1,335",1.25,1.63
2023,2,County,Illinois,"Champaign County, Illinois",Private,1026 Leisure and hospitality,,567,"11,050","11,167","10,394","61,872,226",438,0.97,0.91
2023,2,County,Illinois,"Champaign County, Illinois",Private,1027 Other services,,434,"2,314","2,320","2,334","25,302,876",838,0.80,0.85
2023,2,County,Illinois,"Champaign County, Illinois",Private,1029 Unclassified,,4,3,4,4,"37,755",792,0.02,0.01
2023,2,County,Illinois,"Christian County, Illinois",Total Covered,"10 Total, all industries",,727,"9,413","9,449","9,623","109,834,971",890,1.00,1.00
2023,2,County,Illinois,"Christian County, Illinois",Federal Government,"10 Total, all industries",,12,69,72,71,"956,781","1,041",0.39,0.33
2023,2,County,Illinois,"Christian County, Illinois",State Government,"10 Total, all industries",N,1,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Christian County, Illinois",Local Government,"10 Total, all industries",N,49,0,0,0,0,0,0.00,0.00
2023,2,County,Illinois,"Christian County, Illinois",Private,"10 Total, all industries",,665,"7,650","7,685","7,787","89,812,303",896,0.94,0.96
2023,2,County,Illinois,"Christian County, Illinois",Private,101 Goods-producing,,145,"1,923","1,915","1,930","28,801,279","1,152",1.34,1.61
2023,2,County,Illinois,"Christian County, Illinois",Private,1011 Natural resources and mining,,30,175,175,182,"3,222,765","1,398",1.50,2.55
2023,2,County,Illinois,"Christian County, Illinois",Private,1012 Construction,,93,348,357,372,"4,633,421",993,0.74,0.76
2023,2,County,Illinois,"Christian County, Illinois",Private,1013 Manufacturing,,22,"1,400","1,383","1,376","20,945,093","1,162",1.70,1.99
2023,2,County,Illinois,"Christian County, Illinois",Private,102 Service-providing,,520,"5,727","5,770","5,857","61,011,024",811,0.86,0.80
2023,2,County,Illinois,"Christian County, Illinois",Private,"1021 Trade, transportation, and utilities",,174,"2,087","2,082","2,123","26,524,084",973,1.19,1.55
2023,2,County,Illinois,"Christian County, Illinois",Private,1022 Information,,8,123,121,129,"1,456,206",901,0.70,0.32
2023,2,County,Illinois,"Christian County, Illinois",Private,1023 Financial activities,,59,400,391,402,"4,885,527",945,0.74,0.53
2023,2,County,Illinois,"Christian County, Illinois",Private,1024 Professional and business services,,70,353,361,362,"3,573,672",766,0.26,0.16
2023,2,County,Illinois,"Christian County, Illinois",Private,1025 Education and health services,,50,"1,478","1,478","1,487","17,937,950",932,0.98,1.17
2023,2,County,Illinois,"Christian County, Illinois",Private,1026 Leisure and hospitality,,96,"1,049","1,104","1,119","4,935,175",348,1.05,0.93
2023,2,County,Illinois,"Christian County, Illinois",Private,1027 Other services,,61,233,229,229,"1,677,724",560,0.79,0.71
2023,2,County,Illinois,"Christian County, Illinois",Private,1029 Unclassified,,2,4,4,6,"20,686",341,0.23,0.07
2023,2,County,Illinois,"Clark County, Illinois",Total Covered,"10 Total, all industries",,325,"4,428","4,440","4,374","48,116,283",839,1.00,1.00
2023,2,County,Illinois,"Clark County, Illinois",Federal Government,"10 Total, all industries",,8,43,50,48,"583,423",955,0.58,0.46
2023,2,County,Illinois,"Clark County, Illinois",Local Government,"10 Total, all industries",,25,776,797,737,"7,083,577",708,1.82,1.69
2023,2,County,Illinois,"Clark County, Illinois",Private,"10 Total, all industries",,292,"3,609","3,593","3,589","40,449,283",865,0.96,0.98
2023,2,County,Illinois,"Clark County, Illinois",Private,101 Goods-producing,,87,"1,509","1,514","1,517","21,639,529","1,100",2.33,2.76
